patient_id,background,esophagus,heart,trachea,aorta
Patient_01,59494402,138928,365637,32009,0
Patient_02,64008218,105353,359613,14240,0
Patient_03,38285585,53254,183705,12624,0
Patient_04,40898092,168356,330508,21796,0
Patient_05,73808603,160026,454409,25858,0
Patient_06,51632746,138992,377459,17459,0
Patient_07,46427909,115229,365861,14777,0
Patient_08,44455098,99573,254685,17268,0
Patient_09,39904945,75603,366127,23501,0
Patient_10,42085266,135968,488311,19927,0
Patient_11,46898748,66558,210666,9948,0
Patient_12,44175023,174016,460516,17069,0
Patient_13,59120654,156860,474491,16827,0
Patient_14,42142116,88446,225194,11572,0
Patient_15,38478914,259929,546464,36293,0
Patient_16,43001304,86207,412462,15931,0
Patient_17,43206141,71619,223397,14747,0
Patient_18,47067278,121246,767246,16582,0
Patient_19,49339999,87800,359425,20136,0
Patient_20,53670660,53950,269845,7209,0
